100,10000,594,2.3
200,40000,1194,3.6
300,90000,1794,7.1
400,160000,2394,11.1
500,250000,2994,15.5
600,360000,3594,21.3
700,490000,4194,28.1
800,640000,4794,42.2
900,810000,5394,49.0
1000,1000000,5994,58.3
