100,457,1358,1.8
200,362,4815,5.2
300,304,10684,11.0
400,323,19610,19.9
500,313,29870,30.2
600,325,42009,42.3
700,376,58882,59.3
800,410,81862,82.3
900,446,102365,102.8
1000,449,132485,132.9
