100,653,3552,4.2
200,540,9213,9.8
300,534,18325,18.9
400,542,31824,32.4
500,544,48372,48.9
600,551,72965,73.5
700,627,100066,100.7
800,601,132604,133.2
900,621,173429,174.1
1000,597,207253,207.8
