100,753,1805,2.6
200,574,3212,3.8
300,752,6611,7.4
400,610,10082,10.7
500,556,15032,15.6
600,589,22697,23.3
700,652,29743,30.4
800,668,39373,40.0
900,685,49484,50.2
1000,679,60876,61.6
