100,10000,594,3.7
200,40000,1194,6.1
300,90000,1794,9.3
400,160000,2394,18.3
500,250000,2994,22.4
600,360000,3594,31.5
700,490000,4194,39.9
800,640000,4794,57.4
900,810000,5394,70.3
1000,1000000,5994,84.7
