N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,57.4369,62.588,3,0.28
200,40000,1194,57.4396,224.0881,3,0.87
300,90000,1794,56.5248,491.3504,3,0.83
400,160000,2394,56.8931,923.8291,3,0.82
500,250000,2994,56.3685,1498.446,3,0.79
600,360000,3594,55.9892,2268.0955,3,0.55
700,490000,4194,57.2515,3179.1031,2,0.79
800,640000,4794,56.8571,4268.1087,2,0.21
900,810000,5394,56.2248,5581.3808,2,0.26
1000,1000000,5994,70.1924,7093.8323,2,1.03
