N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,0,3.573,9,1.47
200,40000,1194,0.0,13.453,6,1.37
300,90000,1794,0,31.895,3,1.32
400,160000,2394,0,54.717,3,1.27
500,250000,2994,0,91.674,3,0.46
600,360000,3594,0,130.334,3,1.39
700,490000,4194,0,180.093,3,0.66
800,640000,4794,0,230.248,3,0.56
900,810000,5394,0,317.146,3,0.44
1000,1000000,5994,0,382.116,3,0.2
