N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,0,3.599,11,1.44
200,40000,1194,0.0,13.9185,4,1.2
300,90000,1794,0,31.327,5,1.34
400,160000,2394,0,54.041,3,1.06
500,250000,2994,0.0,89.3905,4,1.35
600,360000,3594,0.0,132.468,4,1.36
700,490000,4194,0,180.044,3,0.38
800,640000,4794,0,229.031,3,0.89
900,810000,5394,0,313.107,3,0.62
1000,1000000,5994,0,383.027,3,0.32
