N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,0,4.809,3,1.41
200,40000,1194,0.0,19.035,12,1.41
300,90000,1794,0.0,44.11,6,1.31
400,160000,2394,0,88.143,3,0.91
500,250000,2994,0,170.181,3,0.13
600,360000,3594,0.0,229.614,4,1.29
700,490000,4194,0,431.354,9,1.46
800,640000,4794,0,535.266,3,0.22
900,810000,5394,0,668.206,7,1.82
1000,1000000,5994,0,1044.858,3,1.38
