N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,1.0,4.1175,18,1.48
200,40000,1194,1,16.123,17,1.49
300,90000,1794,1.0,36.363,8,1.46
400,160000,2394,1.0,75.964,6,1.28
500,250000,2994,1,137.277,3,1.35
600,360000,3594,1,190.624,3,0.46
700,490000,4194,1,353.518,3,0.81
800,640000,4794,1,439.262,3,1.3
900,810000,5394,1,513.265,3,0.51
1000,1000000,5994,1,838.848,3,0.28
