N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,0.0,1.989,8,1.36
200,40000,1194,0,7.842,3,1.4
300,90000,1794,0,18.214,3,1.01
400,160000,2394,0,30.673,9,1.36
500,250000,2994,0.0,49.5235,6,1.47
600,360000,3594,0,71.653,3,0.1
700,490000,4194,0,95.524,3,0.42
800,640000,4794,0,122.91,3,0.99
900,810000,5394,0,170.321,3,0.44
1000,1000000,5994,0,203.532,3,0.45
