N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,1,2.128,3,0.76
200,40000,1194,1,8.308,3,0.92
300,90000,1794,1,18.395,3,1.5
400,160000,2394,1,32.35,3,0.78
500,250000,2994,1,51.804,3,1.1
600,360000,3594,1,73.885,3,1.41
700,490000,4194,1,99.14,3,0.64
800,640000,4794,1,130.14,3,1.07
900,810000,5394,1,180.982,3,1.13
1000,1000000,5994,1,221.493,3,0.86
