N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,4.5,2.413,12,1.46
200,40000,1194,5.0,7.7825,10,1.48
300,90000,1794,5,17.789,25,3.37
400,160000,2394,5,29.062,3,1.5
500,250000,2994,5,48.649,7,1.34
600,360000,3594,6,107.279,25,3.74
700,490000,4194,6,97.777,3,1.03
800,640000,4794,6.0,146.27,4,1.37
900,810000,5394,6,221.414,3,0.81
1000,1000000,5994,6,260.766,3,0.98
