N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,0,1.361,15,1.43
200,40000,1194,0,5.952,3,0.92
300,90000,1794,0,14.109,5,1.36
400,160000,2394,0,23.246,3,1.14
500,250000,2994,0,44.927,3,1.11
600,360000,3594,1,56.789,3,1.23
700,490000,4194,1,76.8,5,1.38
800,640000,4794,1.0,103.9965,4,1.13
900,810000,5394,1,161.037,3,0.54
1000,1000000,5994,1,194.22,3,0.21
