N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,12.0,0.885,20,1.45
200,40000,1194,12,3.025,5,1.24
300,90000,1794,12.0,6.666,6,1.37
400,160000,2394,12,11.737,3,1.22
500,250000,2994,11,18.001,3,0.45
600,360000,3594,12,25.722,3,1.11
700,490000,4194,12,35.703,3,0.63
800,640000,4794,12,45.773,11,1.4
900,810000,5394,12,58.129,3,0.21
1000,1000000,5994,12,69.071,3,0.53
