N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,1,1.678,25,1.87
200,40000,1194,1,6.866,15,1.5
300,90000,1794,1,14.69,25,1.71
400,160000,2394,1,29.321,13,1.44
500,250000,2994,1.0,51.6375,16,1.41
600,360000,3594,1,75.905,9,1.45
700,490000,4194,1,122.311,3,0.84
800,640000,4794,1,163.253,3,0.72
900,810000,5394,1,235.314,3,0.94
1000,1000000,5994,1,258.625,3,0.22
