N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,4,1.116,11,1.48
200,40000,1194,4.0,4.9035,8,1.36
300,90000,1794,4,11.478,9,1.47
400,160000,2394,4.0,20.631,4,1.24
500,250000,2994,4,35.569,3,0.4
600,360000,3594,4.0,48.181,4,1.21
700,490000,4194,4,65.79,3,0.26
800,640000,4794,4,98.367,3,0.34
900,810000,5394,4,128.456,3,1.42
1000,1000000,5994,5,145.587,3,0.84
