N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,1,2.165,25,1.85
200,40000,1194,1.0,4.2235,10,1.39
300,90000,1794,1.0,8.059,4,1.07
400,160000,2394,1,12.677,11,1.37
500,250000,2994,1,19.145,3,0.82
600,360000,3594,1,28.988,3,0.92
700,490000,4194,1.0,37.9245,8,1.38
800,640000,4794,1,48.233,3,0.89
900,810000,5394,1,61.681,3,0.79
1000,1000000,5994,1,74.366,3,0.69
