N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,7.0,7.3465,24,1.44
200,40000,1194,7,23.769,23,1.49
300,90000,1794,7,49.322,3,0.69
400,160000,2394,8,81.769,5,1.24
500,250000,2994,8,118.349,3,0.52
600,360000,3594,7,174.052,3,1.16
700,490000,4194,8,236.715,3,0.33
800,640000,4794,7,305.63,3,0.08
900,810000,5394,8,384.634,3,0.41
1000,1000000,5994,7,467.411,3,0.32
