N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,4,1.451,25,2.34
200,40000,1194,4.0,5.613,4,1.3
300,90000,1794,4,13.58,3,0.75
400,160000,2394,4,22.727,3,1.37
500,250000,2994,4,34.352,3,1.39
600,360000,3594,4.0,53.926,4,1.15
700,490000,4194,4,71.228,3,0.21
800,640000,4794,4,97.843,3,0.28
900,810000,5394,4,120.786,3,0.66
1000,1000000,5994,4,135.507,3,0.26
