N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,5,2.405,3,0.31
200,40000,1194,5.0,7.422,10,1.45
300,90000,1794,5,16.718,25,2.81
400,160000,2394,5,27.453,25,1.59
500,250000,2994,5,45.33,7,1.37
600,360000,3594,6,96.312,25,4.68
700,490000,4194,6.0,94.411,4,1.28
800,640000,4794,6,142.708,9,1.36
900,810000,5394,6,208.085,5,1.33
1000,1000000,5994,6,243.039,9,1.37
