N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,1,1.775,3,0.62
200,40000,1194,1,6.927,19,1.45
300,90000,1794,1,15.383,25,1.58
400,160000,2394,1,29.468,3,1.03
500,250000,2994,1,53.042,7,1.46
600,360000,3594,1,77.267,3,0.4
700,490000,4194,1,125.42,3,0.56
800,640000,4794,1,160.259,3,0.76
900,810000,5394,1,237.893,3,0.67
1000,1000000,5994,1,256.28,3,0.63
