N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,1,1.981,25,2.88
200,40000,1194,1,4.539,25,1.88
300,90000,1794,1,8.136,3,0.65
400,160000,2394,1,14.826,3,1.29
500,250000,2994,1,20.595,5,1.31
600,360000,3594,1,29.746,3,0.87
700,490000,4194,1,38.751,3,0.2
800,640000,4794,1,56.899,3,1.12
900,810000,5394,1,70.391,3,0.67
1000,1000000,5994,1,84.38,3,0.88
