N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,0,1.79,3,1.45
200,40000,1194,0,4.5,21,1.46
300,90000,1794,0.0,7.3115,16,1.5
400,160000,2394,0,12.385,9,1.43
500,250000,2994,0,18.608,9,1.43
600,360000,3594,0,27.722,11,1.43
700,490000,4194,0.0,35.1305,6,1.27
800,640000,4794,0.0,49.51,6,1.38
900,810000,5394,0,60.024,3,1.45
1000,1000000,5994,0,74.948,3,1.06
