N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,7.0,7.683,14,1.48
200,40000,1194,7,26.113,3,0.31
300,90000,1794,8,54.278,3,1.08
400,160000,2394,7.5,87.7565,4,1.34
500,250000,2994,8.0,128.8145,4,1.36
600,360000,3594,8,180.33,3,0.73
700,490000,4194,8,250.324,3,0.84
800,640000,4794,8,327.525,3,0.8
900,810000,5394,8,410.914,3,0.12
1000,1000000,5994,8,499.983,3,0.34
