N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,7.0,7.561,22,1.43
200,40000,1194,7.0,24.0845,10,1.44
300,90000,1794,7.5,53.275,4,1.33
400,160000,2394,8,86.6,3,1.1
500,250000,2994,8,126.03,3,0.9
600,360000,3594,8,184.512,3,0.96
700,490000,4194,8,251.708,3,0.32
800,640000,4794,8,325.699,3,0.27
900,810000,5394,8,409.443,3,0.25
1000,1000000,5994,8,499.55,3,0.39
