N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,0,1.089,25,2.43
200,40000,1194,0,4.468,3,1.12
300,90000,1794,0.0,10.287,4,1.48
400,160000,2394,0,18.885,3,0.8
500,250000,2994,0,27.846,3,0.8
600,360000,3594,0,41.723,3,0.54
700,490000,4194,1,59.643,7,1.42
800,640000,4794,1,79.211,3,0.35
900,810000,5394,1,101.578,5,1.35
1000,1000000,5994,1,130.819,3,0.67
