N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,5.0,1.906,20,1.43
200,40000,1194,5,6.161,19,1.47
300,90000,1794,5.0,13.185,8,1.4
400,160000,2394,5.0,25.7865,22,1.48
500,250000,2994,5.0,39.4875,8,1.48
600,360000,3594,6,60.088,25,2.99
700,490000,4194,6,83.234,3,0.4
800,640000,4794,6,114.782,7,1.45
900,810000,5394,6,190.901,23,1.6
1000,1000000,5994,6,210.708,3,0.65
