N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,1,2.017,25,1.71
200,40000,1194,1.0,4.0085,12,1.39
300,90000,1794,1,7.591,19,1.48
400,160000,2394,1,11.38,3,1.04
500,250000,2994,1,17.778,3,0.85
600,360000,3594,1,27.399,3,1.39
700,490000,4194,1,33.719,3,0.69
800,640000,4794,1,43.748,3,0.35
900,810000,5394,1,56.39,3,0.52
1000,1000000,5994,1,66.984,3,0.78
