N,num_variables,num_constraints,model_time_ms,repetitions,error_pct
100,10000,594,3.1845,6,1.41
200,40000,1194,8.62,5,1.29
300,90000,1794,17.8585,4,1.12
400,160000,2394,29.782,3,0.71
500,250000,2994,46.056,13,1.4
600,360000,3594,65.313,3,1.28
700,490000,4194,91.018,6,1.26
800,640000,4794,119.195,3,0.53
900,810000,5394,151.738,3,0.29
1000,1000000,5994,185.574,3,0.86
