N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,69.0577,196.1264,3,0.23
200,40000,1194,39.1843,803.209,3,1.33
300,90000,1794,38.508,1807.1531,3,1.27
400,160000,2394,38.3567,3180.3679,2,1.52
500,250000,2994,53.7356,4885.7478,2,0.68
600,360000,3594,38.4278,7041.8814,2,0.34
700,490000,4194,38.4408,9574.691,2,0.31
800,640000,4794,38.4086,12473.8179,2,0.14
900,810000,5394,38.2773,15860.8964,2,0.04
1000,1000000,5994,59.085,19735.8858,2,0.9
