100,pulp,0.0660
200,pulp,0.1725
300,pulp,0.3417
400,pulp,0.6333
500,pulp,1.1024
600,pulp,1.7558
700,pulp,2.4593
800,pulp,3.4701
900,pulp,4.6635
1000,pulp,6.0073
