N,num_variables,num_constraints,api_time_ms,model_time_ms,repetitions,error_pct
100,10000,594,69.4918,154.2523,4,1.44
200,40000,1194,70.0436,183.0814,3,0.79
300,90000,1794,69.3096,232.6895,3,0.67
400,160000,2394,68.7606,318.7055,3,0.89
500,250000,2994,69.332,408.9089,3,0.96
600,360000,3594,69.6936,536.1206,3,0.44
700,490000,4194,69.9275,712.6081,3,0.44
800,640000,4794,69.716,914.6805,4,1.08
900,810000,5394,69.84,1154.9183,3,0.53
1000,1000000,5994,69.9995,1439.5896,3,0.63
