100,10000,594,39992,0.1445
200,40000,1194,159992,0.8273
300,90000,1794,359992,2.6671
400,160000,2394,639992,6.5093
500,250000,2994,999992,13.6835
600,360000,3594,1439992,22.3388
700,490000,4194,1959992,35.3800
800,640000,4794,2559992,52.9478
900,810000,5394,3239992,75.7183
1000,1000000,5994,3999992,104.3304
